OBJECTID_1,FULLADDR,ADDRNUM,STREETNAME,STREETSUFF
61144,BLK 5800 BUTTE MILL RD,5800,BUTTE MILL,RD
61145,BLK 2500 63RD ST,2500,63RD,ST
61155,BLK 100 MAPLETON AVE,100,MAPLETON,AVE
61162,BLK 1700 COMMERCE ST,1700,COMMERCE,ST
61163,BLK 1600 LINCOLN PL,1600,LINCOLN,PL
61167,BLK 4200 HAMPTON CIR,4200,HAMPTON,CIR
61171,BLK 5600 EUCLID PL,5600,EUCLID,PL
61174,BLK 700 MEADOW GLEN DR,700,MEADOW GLEN,DR
61176,BLK 2400 AGATE RD,2400,AGATE,RD
61184,BLK 6000 SPINE RD,6000,SPINE,RD
61224,BLK 1200 CHERRYVALE RD,1200,CHERRYVALE,RD
61228,BLK 4000 SAVANNAH PL,4000,SAVANNAH,PL
61233,BLK 600 ARAPAHOE AVE,600,ARAPAHOE,AVE
61238,BLK 1100 RAVENWOOD RD,1100,RAVENWOOD,RD
61241,BLK 4800 CURIE CT,4800,CURIE,CT
61253,BLK 400 CANYON BLVD,400,CANYON,BLVD
61273,BLK 800 YALE RD,800,YALE,RD
61277,BLK 5100 S BOULDER RD,5100,BOULDER,RD
61284,"854 WALNUT ST, UNIT 9",854,WALNUT,ST
61286,3020 CARBON PL,3020,CARBON,PL
61296,BLK 2500 CENTRAL AVE,2500,CENTRAL,AVE
61298,BLK 5400 OMAHA PL,5400,OMAHA,PL
61299,BLK 3600 LONGWOOD AVE,3600,LONGWOOD,AVE
61300,BLK 700 SPRUCE ST,700,SPRUCE,ST
61322,BLK 1000 SYCAMORE AVE,1000,SYCAMORE,AVE
61328,BLK 3200 BIG HORN ST,3200,BIG HORN,ST
61330,BLK 3700 EMERSON AVE,3700,EMERSON,AVE
61339,BLK 1000 UNION AVE,1000,UNION,AVE
61342,BLK 1900 7TH ST,1900,7TH,ST
61344,BLK 1900 S 57TH CT,1900,57TH,CT
61347,658 MARINE ST,658,MARINE,ST
61362,957 ROXWOOD LN,957,ROXWOOD,LN
61364,1050 ARAPAHOE AVE,1050,ARAPAHOE,AVE
61371,733 MARINE ST,733,MARINE,ST
61372,5570 PENNSYLVANIA AVE,5570,PENNSYLVANIA,AVE
61395,410 SPRUCE ST,410,SPRUCE,ST
61423,900 PEARL ST,900,PEARL,ST
61448,604 MARINE ST,604,MARINE,ST
61502,1063 LOVE CT,1063,LOVE,CT
61503,997 ROXWOOD LN,997,ROXWOOD,LN
61504,730 MARINE ST,730,MARINE,ST
61508,926 MARINE ST,926,MARINE,ST
61519,952 MARINE ST,952,MARINE,ST
61548,626 MARINE ST,626,MARINE,ST
61550,4560 ARAPAHOE AVE,4560,ARAPAHOE,AVE
61553,5025 VALMONT RD,5025,VALMONT,RD
61564,326 PEARL ST,326,PEARL,ST
61578,454 ARAPAHOE AVE,454,ARAPAHOE,AVE
61597,636 ARAPAHOE AVE,636,ARAPAHOE,AVE
61606,735 MARINE ST,735,MARINE,ST
61629,"1523 48TH ST, UNIT 12",1523,48TH,ST
61634,737 MARINE ST,737,MARINE,ST
61644,875 ROXWOOD LN,875,ROXWOOD,LN
61645,"1529 48TH ST, UNIT 15",1529,48TH,ST
61662,808 ARAPAHOE AVE,808,ARAPAHOE,AVE
61664,721 PEARL ST,721,PEARL,ST
61679,955 MARINE ST,955,MARINE,ST
61681,3689 PASEO DEL PRADO,3689,PASEO DEL PRADO, 
61682,335 CANYON BLVD,335,CANYON,BLVD
61686,INT FOUNDRY PL & JUNCTION PL, , , 
61690,3311 PALO PKWY,3311,PALO,PKWY
61694,3301 PALO PKWY,3301,PALO,PKWY
61699,3101 SPRUCE ST,3101,SPRUCE,ST
61700,2261 JUNCTION PL,2261,JUNCTION,PL
61701,335 PEARL ST,335,PEARL,ST
61705,717 UNIVERSITY AVE,717,UNIVERSITY,AVE
61709,5019 VALMONT RD,5019,VALMONT,RD
61710,5037 VALMONT RD,5037,VALMONT,RD
61712,5007 VALMONT RD,5007,VALMONT,RD
61724,500 PEARL ST,500,PEARL,ST
61744,INT NASSAU PL & OLD WESTBURY CT, , , 
61746,INT APPLEWOOD CT & S ORCHARD CREEK CIR, , , 
61769,INT RAMP & US HWY 36, , , 
61774,INT AARON PL & HARRISON AVE, , , 
61778,INT 26TH ST & AGATE RD, , , 
61782,3002 CENTER GREEN DR,3002,CENTER GREEN,DR
61784,1705 UPLAND AVE,1705,UPLAND,AVE
61786,1531 HARRISON AVE,1531,HARRISON,AVE
61787,3740 BIRCHWOOD DR,3740,BIRCHWOOD,DR
61797,INT EMERALD RD & RUBY ST, , , 
61804,INT 7TH ST & PEARL ST, , , 
61808,INT BASELINE RD & DIMMIT DR, , , 
61815,INT OLD WESTBURY CT & SCARSDALE PL, , , 
61816,INT 19TH ST & VIOLET AVE, , , 
61841,INT STERLING CIR & STERLING CIR E, , , 
61845,INT CARBON PL & JUNCTION  PL, , , 
61856,INT 30TH ST & MAPLETON AVE, , , 
61857,INT GREEN ROCK DR & WILLOW GLEN CT, , , 
61859,INT STERLING CT & VALMONT RD, , , 
61860,INT KINGS RIDGE BLVD & VALMONT RD, , , 
61864,INT EDISON AVE & EDISON CT, , , 
61865,INT EDISON CT & EDISON LN, , , 
61866,INT EDISON AVE & KINGS RIDGE  BLVD, , , 
61868,INT CHERRYVALE RD & OREG AVE, , , 
61872,INT EDISON AVE & FULTON CIR, , , 
61877,INT 63RD ST & BUTTE MILL RD, , , 
61878,INT BUTTE MILL RD & STAZIO DR, , , 
61882,INT 63RD ST & DIAGONAL HWY, , , 
61884,INT COLBY DR & ITHACA DR, , , 
61895,INT N 51ST ST & N 55TH ST, , , 
61896,INT 55TH ST & S BOULDER RD, , , 
61914,INT OMAHA PL & SIOUX DR, , , 
61918,INT DIAGONAL HWY & FOOTHILLS PKWY, , , 
61940,INT NEW HAVEN CT & ST JOHNS AVE, , , 
61958,BLK 1800 48TH ST,1800,48TH,ST
61983,BLK 300 CANYON BLVD,300,CANYON,BLVD
61986,BLK 5200 THOR AVE,5200,THOR,AVE
61989,BLK 3900 PROMONTORY CT,3900,PROMONTORY,CT
62000,BLK 2300 AGATE RD,2300,AGATE,RD
62001,BLK 800 PEARL ST,800,PEARL,ST
62006,BLK 4400 APPLEWOOD CT,4400,APPLEWOOD,CT
62009,BLK 3300 WRIGHT CIR,3300,WRIGHT,CIR
62010,BLK 700 POPLAR AVE,700,POPLAR,AVE
62030,INT 7TH ST & WALNUT ST, , , 
62033,INT DARWIN CT & EINSTEIN CT, , , 
