OBJECTID_1,FULLADDR,ADDRNUM,STREETNAME,STREETSUFF
14,1890 VIOLET AVE,1890,VIOLET,AVE
33,3108 KINGS RIDGE BLVD,3108,KINGS RIDGE,BLVD
46,4774 VALMONT RD,4774,VALMONT,RD
47,5381 STERLING DR,5381,STERLING,DR
54,1634 N 63RD ST,1634,63RD,ST
55,1726 N 63RD ST,1726,63RD,ST
58,3860 FOLSOM ST,3860,FOLSOM,ST
156,3827 26TH ST,3827,26TH,ST
158,3820 26TH ST,3820,26TH,ST
160,3831 30TH ST,3831,30TH,ST
162,3000 CENTER GREEN DR,3000,CENTER GREEN,DR
176,4016 26TH ST,4016,26TH,ST
178,4140 26TH ST,4140,26TH,ST
192,2503 NORWOOD AVE,2503,NORWOOD,AVE
203,4086 26TH ST,4086,26TH,ST
207,3993 26TH ST,3993,26TH,ST
211,4090 26TH ST,4090,26TH,ST
214,3986 26TH ST,3986,26TH,ST
217,3833 26TH ST,3833,26TH,ST
218,1336 N TEAL CT,1336,TEAL,CT
221,3890 26TH ST,3890,26TH,ST
224,4094 26TH ST,4094,26TH,ST
230,3756 26TH ST,3756,26TH,ST
231,4130 26TH ST,4130,26TH,ST
235,3835 30TH ST,3835,30TH,ST
239,3811 26TH ST,3811,26TH,ST
241,4120 26TH ST,4120,26TH,ST
251,4066 26TH ST,4066,26TH,ST
258,3841 26TH ST,3841,26TH,ST
262,3819 26TH ST,3819,26TH,ST
265,3790 26TH ST,3790,26TH,ST
279,3850 26TH ST,3850,26TH,ST
287,3836 26TH ST,3836,26TH,ST
290,3881 26TH ST,3881,26TH,ST
305,2125 UPLAND AVE,2125,UPLAND,AVE
306,1881 9TH ST,1881,9TH,ST
309,3830 FOLSOM ST,3830,FOLSOM,ST
321,3788 26TH ST,3788,26TH,ST
324,3841 N 26TH ST,3841,26TH,ST
328,3881 N 26TH ST,3881,26TH,ST
330,HUMANE SOCIETY, , , 
332,3790 N 26TH ST,3790,26TH,ST
333,4016 N 26TH ST,4016,26TH,ST
334,3827 N 26TH ST,3827,26TH,ST
389,4140 N 26TH ST,4140,26TH,ST
390,3831 N 30TH ST,3831,30TH,ST
391,4094 N 26TH ST,4094,26TH,ST
397,4120 N 26TH ST,4120,26TH,ST
398,3770 N 26TH ST,3770,26TH,ST
400,4130 N 26TH ST,4130,26TH,ST
401,3836 N 26TH ST,3826,26TH,ST
402,1336 TEAL CT,1336,TEAL,CT
403,4018 N 26TH ST,4018,26TH,ST
405,"1881 9TH ST, UNIT 309",1881,9TH,ST
407,"1881 9TH ST, UNIT 105",1881,9TH,ST
409,"1881 9TH ST, UNIT 303",1881,9TH,ST
413,"5594 PENNSYLVANIA AVE, UNIT 6C",5594,PENNSYLVANIA,AVE
421,"1881 9TH ST, UNIT 302",1881,9TH,ST
423,3833 N 26TH ST,3833,26TH,ST
424,3996 N 26TH ST,3996,26TH,ST
431,4086 N 26TH ST,4086,26TH,ST
434,"1881 9TH ST, UNIT 110",1881,9TH,ST
435,"3000 CENTER GREEN DR, UNIT 220",3000,CENTER GREEN,DR
436,"3000 CENTER GREEN DR, UNIT 230",3000,CENTER GREEN,DR
438,2580 PREMIER,2580,PREMIER, 
440,3811 N 26TH ST,3811,26TH,ST
442,3993 N 26TH ST,3993,26TH,ST
539,3756 N 26TH ST,3756,26TH,ST
540,3850 N 26TH ST,3850,26TH,ST
541,3835 N 30TH ST,3835,30TH,ST
548,"1881 9TH ST, UNIT 335",1881,9TH,ST
549,"1881 9TH ST, UNIT 103",1881,9TH,ST
550,"1881 9TH ST, UNIT 120",1881,9TH,ST
555,"1881 9TH ST, UNIT 321",1881,9TH,ST
558,"1881 9TH ST, UNIT 200",1881,9TH,ST
559,"1881 9TH ST, UNIT 125",1881,9TH,ST
563,2960 S CENTER GREEN CT,2960,CENTER GREEN,CT
567,"3000 CENTER GREEN DR, UNIT 200",3000,CENTER GREEN,DR
568,"3000 CENTER GREEN DR, UNIT 215",3000,CENTER GREEN,DR
573,2580 PREMIER PL,2580,PREMIER,PL
577,4018 26TH ST,4018,26TH,ST
579,4090 N 26TH ST,4090,26TH,ST
584,INDUSTRIAL HOUSING DISTRIBUTION CENTER, , , 
585,FOUNDATION CENTER, , , 
588,"1881 9TH ST, UNIT 115",1881,9TH,ST
650,"3000 CENTER GREEN DR, UNIT 250",3000,CENTER GREEN,DR
677,4066 N 26TH ST,4066,26TH,ST
678,587 UCB, , , 
681,3986 N 26TH ST,3986,26TH,ST
685,"1881 9TH ST, UNIT 319",1881,9TH,ST
686,"1881 9TH ST, UNIT 320",1881,9TH,ST
690,"1881 9TH ST, UNIT 305",1881,9TH,ST
752,3890 N 26TH ST,3890,26TH,ST
759,3819 N 26TH ST,3819,26TH,ST
771,1364 TEAL CT,1364,TEAL,CT
773,2901 N 55TH ST,2901,55TH,ST
775,3820 N 26TH ST,3820,26TH,ST
776,2594 PREMIER,2594,PREMIER,PL
873,2060 VINE AVE,2060,VINE,AVE
874,2080 VINE AVE,2080,VINE,AVE
875,"717 UNIVERSITY AVE, UNIT A",717,UNIVERSITY,AVE
876,"717 UNIVERSITY AVE, UNIT B",717,UNIVERSITY,AVE
980,5089 VALMONT RD,5089,VALMONT,RD
981,5071 VALMONT RD,5071,VALMONT,RD
982,5083 VALMONT RD,5083,VALMONT,RD
983,5059 VALMONT RD,5059,VALMONT,RD
984,5053 VALMONT RD,5053,VALMONT,RD
986,5047 VALMONT RD,5047,VALMONT,RD
1015,5602 PENNSYLVANIA AVE,5602,PENNSYLVANIA,AVE
1103,2945 ISLAND DR,2945,ISLAND,DR
1106,"2945 ISLAND DR, UNIT A",2945,ISLAND,DR
1107,"2945 ISLAND DR, UNIT B",2945,ISLAND,DR
1195,INT BASELINE RD & CHERRYVALE RD, , , 
1197,BLK 600 55TH ST,600,55TH,ST
1198,BLK 550 55TH ST,550,5TH,ST
1200,2130 UPLAND AVE,2130,UPLAND,AVE
1204,1179 CHERRYVALE RD,1179,CHERRYVALE,RD
1207,5781 N ORCHARD CREEK LN,5781,ORCHARD CREEK,LN
1252,"1065 FAIRWAY CT, UNIT D",1065,FAIRWAY,CT
1253,"1065 FAIRWAY CT, UNIT C",1065,FAIRWAY,CT
1292,"1901 63RD ST, UNIT A",1901,63RD,ST
1293,"1901 63RD ST, UNIT C",1901,63RD,ST
1294,"1901 63RD ST, UNIT B",1901,63RD,ST
1298,"909 MARINE ST, UNIT A",909,MARINE,ST
1302,"5500 CENTRAL AVE, UNIT A", , , 
1304,"5735 ARAPAHOE AVE, UNIT F",5735,ARAPAHOE,AVE
1307,"432 PEARL ST, UNIT 1",432,PEARL,ST
1314,5425 CENTENNIAL DR,5425,CENTENNIAL,DR
1315,"427 CANYON BLVD, UNIT 1",427,CANYON,BLVD
1316,5315 CENTENNIAL DR,5315,CENTENNIAL,DR
1317,"429 CANYON BLVD, UNIT 2",429,CANYON,BLVD
1318,5325 CENTENNIAL DR,5325,CENTENNIAL,DR
1319,"433 CANYON BLVD, UNIT 3",433,CANYON,BLVD
1321,"435 CANYON BLVD, UNIT 4",435,CANYON,BLVD
1322,5345 CENTENNIAL DR,5345,CENTENNIAL,DR
1323,"439 CANYON BLVD, UNIT 5",439,CANYON,BLVD
1328,"5735 ARAPAHOE AVE, UNIT A",5735,ARAPAHOE,AVE
1339,"601 CANYON BLVD, UNIT A",601,CANYON,BLVD
1340,"601 CANYON BLVD, UNIT B",601,CANYON,BLVD
1341,"601 CANYON BLVD, UNIT C",601,CANYON,BLVD
1342,"601 CANYON BLVD, UNIT D",601,CANYON,BLVD
1352,"3990 BROADWAY, UNIT A",3990,BROADWAY, 
1359,"1065 FAIRWAY CT, UNIT B",1065,FAIRWAY,CT
1360,"1065 FAIRWAY CT, UNIT A",1065,FAIRWAY,CT
1397,"1880 S FLATIRON CT, UNIT D",1880,FLATIRON,CT
1398,"5735 ARAPAHOE AVE, UNIT D",5735,ARAPAHOE,AVE
1403,"909 MARINE ST, UNIT B",909,MARINE,ST
1408,"4127 LONETREE CT, UNIT C", , , 
1411,"430 PEARL ST, UNIT 3",430,PEARL,ST
1412,"428 PEARL ST, UNIT 2",428,PEARL,ST
1414,"733 PEARL ST, UNIT 4",733,PEARL,ST
1441,"1062 FAIRWAY CT, UNIT 2",1062,FAIRWAY,CT
1454,"1025 ROXWOOD LN, UNIT C",1025,ROXWOOD,LN
1477,"636 MARINE ST, UNIT C",636,MARINE,ST
1478,"1580 7TH ST, UNIT E",1580,7TH,ST
1496,"2480 49TH ST, UNIT E",2480,49TH,ST
1497,"2480 49TH ST, UNIT H",2480,49TH,ST
1498,"2480 49TH ST, UNIT D",2480,49TH,ST
1499,"2480 49TH ST, UNIT F",2480,49TH,ST
1516,1800 COMMERCE ST,1800,COMMERCE,ST
1517,1840 COMMERCE ST,1840,COMMERCE,ST
1520,"1555 REDWOOD AVE, UNIT B",1555,REDWOOD,AVE
1527,2282 30TH ST,2282,30TH,ST
1534,1555 REDWOOD AVE,1555,REDWOOD,AVE
1535,"1555 REDWOOD AVE, UNIT A",1555,REDWOOD,AVE
1667,BLK 3400 TALISMAN PL,3400,TALISMAN,PL
1678,1110 QUINCE AVE,1110,QUINCE,AVE
1707,5358 THOR AVE,5358,THOR,AVE
1716,"715 ARAPAHOE AVE, UNIT 1",715,ARAPAHOE,AVE
1717,3695 LONGWOOD AVE,3695,LONGWOOD,AVE
1719,"5530 STONEWALL PL, UNIT 21",5530,STONEWALL,PL
1728,120 IROQUOIS DR,120,IROQUOIS,DR
1735,6341 ARAPAHOE AVE,6341,ARAPAHOE,AVE
1740,495 LOCUST PL,495,LOCUST,PL
1744,920 LOCUST AVE,920,LOCUST,AVE
1753,"856 WALNUT ST, UNIT 4",856,WALNUT,ST
1762,3262 SENTINEL DR,3262,SENTINEL,DR
1764,106 MANHATTAN DR,106,MANHATTAN,DR
1766,"635 WALNUT ST, UNIT 2",635,WALNUT,ST
1776,4030 SAVANNAH CT,4030,SAVANNAH,CT
1778,630 SPRUCE ST,630,SPRUCE,ST
1792,"3835 NORTHBROOK DR, UNIT 12",3835,NORTHBROOK,DR
1798,"5000 BUTTE ST, UNIT 275",5000,BUTTE,ST
1806,2305 EMERALD RD,2305,EMERALD,RD
1807,1348 CHERRYVALE RD,1348,CHERRYVALE,RD
1814,"608 PEARL ST, UNIT B",608,PEARL,ST
1822,4310 9TH ST,4310,9TH,ST
1823,5346 GALLATIN PL,5346,GALLATIN,PL
1825,88 HURON CT,88,HURON,CT
1850,"5377 MANHATTAN CIR, UNIT 104",5377,MANHATTAN,CIR
1861,"5530 STONEWALL PL, UNIT 13",5530,STONEWALL,PL
1869,3640 LONGWOOD AVE,3640,LONGWOOD,AVE
1878,6180 ARAPAHOE RD,6180,ARAPAHOE,RD
1892,225 CIMMARON WAY,225,CIMMARON,WAY
1902,"3850 PASEO DEL PRADO, UNIT 24",3850,PASEO DEL PRADO, 
1903,255 CIMMARON WAY,255,CIMMARON,WAY
1917,2891 LOMA PL,2891,LOMA,PL
1928,5584 STONEWALL PL,5584,STONEWALL,PL
1941,"1176 MONROE DR, UNIT A",1176,MONROE,DR
1942,3585 LONGWOOD AVE,3585,LONGWOOD,AVE
1947,3093 FULTON CIR,3093,FULTON,CIR
1948,520 MARINE ST,520,MARINE,ST
1949,1024 55TH ST,1024,55TH,ST
1950,"5000 BUTTE ST, UNIT 1",5000,BUTTE,ST
1951,432 ARAPAHOE AVE,432,ARAPAHOE,AVE
1963,"3850 PASEO DEL PRADO, UNIT 41",3850,PASEO DEL PRADO, 
1964,"5505 VALMONT RD, UNIT 161",5505,VALMONT,RD
2014,3730 SILVER PLUME LN,3730,SILVER PLUME,LN
2025,"5000 BUTTE ST, UNIT 302",5000,BUTTE,ST
2028,6348 SWALLOW LN,6348,SWALLOW,LN
2031,875 QUINCE AVE,875,QUINCE,AVE
2035,1151 UTICA CIR,1151,UTICA,CIR
2046,608 SPRUCE ST,608,SPRUCE,ST
2050,497 KALMIA AVE,497,KALMIA,AVE
2053,"5505 VALMONT RD, UNIT 340",5505,VALMONT,RD
2055,746 COTTAGE LN,746,COTTAGE,LN
2073,"5000 BUTTE ST, UNIT 298",5000,BUTTE,ST
2081,3870 CAMPO CT,3870,CAMPO,CT
2086,"1170 MONROE DR, UNIT D",1170,MONROE,DR
2090,4818 HOPKINS PL,4818,HOPKINS,PL
2091,"5000 BUTTE ST, UNIT 299",5000,BUTTE,ST
2107,3992 ST PETERSBURG ST,3992,SAINT PETERSBURG,ST
2109,"3260 47TH ST, UNIT 109A",3260,47TH,ST
2121,3725 SPRING VALLEY RD,3725,SPRING VALLEY,RD
2122,5454 OMAHA PL,5454,OMAHA,PL
2125,582 LOCUST PL,582,LOCUST,PL
2133,4076 CRYSTAL CT,4076,CRYSTAL,CT
2139,3795 SILVER PLUME LN,3795,SILVER PLUME,LN
2142,1521 9TH ST,1521,9TH,ST
2145,480 QUAIL CIR,480,QUAIL,CIR
2147,2867 LOMA PL,2867,LOMA,PL
2148,1535 10TH ST,1535,10TH,ST
2151,"5505 VALMONT RD, UNIT 285",5505,VALMONT,RD
2155,78 ONTARIO CT,78,ONTARIO,CT
2157,103 MINEOLA CT,103,MINEOLA,CT
2164,4885 DARWIN CT,4885,DARWIN,CT
2165,"5505 VALMONT RD, UNIT 157",5505,VALMONT,RD
2170,"5000 BUTTE ST, UNIT 13",5000,BUTTE,ST
2173,5429 PENNSYLVANIA AVE,5429,PENNSYLVANIA,AVE
2177,2255 MEADOW AVE,2255,MEADOW,AVE
2184,2590 SUMAC AVE,2590,SUMAC,AVE
2204,"5377 MANHATTAN CIR, UNIT 103",5377,MANHATTAN,CIR
2208,830 UNION AVE,830,UNION,AVE
2213,3240 WRIGHT AVE,3240,WRIGHT,AVE
2219,"3200 CARBON PL, UNIT 202",3200,CARBON,PL
2237,5660 SIOUX DR,5660,SIOUX,DR
2254,"6292 ARAPAHOE RD, UNIT 6",6292,ARAPAHOE,RD
2260,3807 PASEO DEL PRADO,3807,PASEO DEL PRADO, 
2266,1555 MACARTHUR DR,1555,MACARTHUR,DR
2269,"5530 STONEWALL PL, UNIT 16",5530,STONEWALL,PL
2272,3254 SENTINEL DR,3254,SENTINEL,DR
2274,"5000 BUTTE ST, UNIT 31",5000,BUTTE,ST
2285,1060 FAIRWAY CT,1060,FAIRWAY,CT
2296,3236 WRIGHT AVE,3236,WRIGHT,AVE
2308,5482 PUEBLO PL,5482,PUEBLO,PL
2329,845 STONEWALL PL,845,STONEWALL,PL
2341,1566 OLD TALE RD,1566,OLD TALE,RD
2343,1159 RAVENWOOD RD,1159,RAVENWOOD,RD
2354,4877 HOPKINS PL,4877,HOPKINS,PL
2355,931 MARINE ST,931,MARINE,ST
2365,646 PEARL ST,646,PEARL,ST
2373,2535 SUMAC AVE,2535,SUMAC,AVE
2378,3985 ST PETERSBURG ST,3985,SAINT PETERSBURG,ST
2380,2545 CENTRAL AVE,2545,CENTRAL,AVE
2385,"3845 NORTHBROOK DR, UNIT A1",3845,NORTHBROOK,DR
2389,1299 S TEAL CT,1299,TEAL,CT
2409,3145 BELL DR,3145,BELL,DR
2411,5101 PENNSYLVANIA AVE,5101,PENNSYLVANIA,AVE
2418,1529 LINCOLN PL,1529,LINCOLN,PL
2422,4007 WONDERLAND HILL AVE,4007,WONDERLAND HILL,AVE
2432,917 ROXWOOD LN,917,ROXWOOD,LN
2433,3375 MITCHELL LN,3375,MITCHELL,LN
2435,5432 WHITE PL,5432,WHITE,PL
2441,760 QUINCE CIR,760,QUINCE,CIR
2451,3874 CAMPO CT,3874,CAMPO,CT
2453,543 LINDEN PARK DR,543,LINDEN PARK,DR
2454,549 LINDEN PARK DR,549,LINDEN PARK,DR
2458,"6292 ARAPAHOE RD, UNIT 14",6292,ARAPAHOE,RD
2462,5808 ORCHARD CREEK CIR,5808,ORCHARD CREEK,CIR
2477,3107 GAMOW LN,3107,GAMOW,LN
2479,"5000 BUTTE ST, UNIT 166",5000,BUTTE,ST
2480,3629 ROUNDTREE CT,3629,ROUNDTREE,CT
2485,1591 TAMARACK AVE,1591,TAMARACK,AVE
2490,670 POPLAR AVE,670,POPLAR,AVE
2494,1070 UNION AVE,1070,UNION,AVE
2513,"5540 STONEWALL PL, UNIT 24",5540,STONEWALL,PL
2520,5255 CENTENNIAL TRL,5255,CENTENNIAL,TRL
2528,5695 PENNSYLVANIA PL,5695,PENNSYLVANIA,PL
2535,6134 SONGBIRD CIR,6134,SONGBIRD,CIR
2539,"5505 VALMONT RD, UNIT 21",5505,VALMONT,RD
2540,3110 KITTRELL CT,3110,KITTRELL,CT
2543,"6292 ARAPAHOE RD, UNIT 5",6292,ARAPAHOE,RD
2547,1226 PINTAIL CIR,1226,PINTAIL,CIR
2548,5827 S ORCHARD CREEK CIR,5827,ORCHARD CREEK,CIR
2551,3095 EDISON CT,3095,EDISON,CT
2556,4907 TESLA CT,4907,TESLA,CT
2559,"3850 PASEO DEL PRADO, UNIT 1",3850,PASEO DEL PRADO, 
2577,64 ONTARIO CT,64,ONTARIO,CT
2581,3805 PASEO DEL PRADO,3805,PASEO DEL PRADO, 
2595,4582 MACARTHUR DR,4582,MACARTHUR,DR
2599,2857 LOMA PL,2857,LOMA,PL
2610,4812 MACINTOSH PL,4812,MACINTOSH,PL
2619,4056 CRYSTAL CT,4056,CRYSTAL,CT
2623,4020 BROADWAY,4020,BROADWAY, 
2624,"3835 NORTHBROOK DR, UNIT 11",3835,NORTHBROOK,DR
2633,4972 PEARL EAST CIR,4972,PEARL EAST,CIR
2636,787 MEADOW GLEN DR,787,MEADOW GLEN,DR
2663,2323 55TH ST,2323,55TH,ST
2672,4886 KINGS RIDGE BLVD,4886,KINGS RIDGE,BLVD
2674,525 QUAIL CIR,525,QUAIL,CIR
2677,4852 DARWIN CT,4852,DARWIN,CT
2679,729 WALNUT ST,729,WALNUT,ST
2681,4801 GIBBS AVE,4801,GIBBS,AVE
2697,"625 PEARL ST, UNIT 29",625,PEARL,ST
2699,4102 GREENBRIAR BLVD,4102,GREENBRIAR,BLVD
2702,4070 OLD WESTBURY CT,4070,OLD WESTBURY,CT
2704,"5505 VALMONT RD, UNIT 320",5505,VALMONT,RD
2705,3224 WRIGHT AVE,3224,WRIGHT,AVE
2706,835 MEADOW GLEN DR,835,MEADOW GLEN,DR
2711,5464 WHITE PL,5464,WHITE,PL
2715,1064 FAIRWAY CT,1064,FAIRWAY,CT
2722,"3850 PASEO DEL PRADO, UNIT 7",3850,PASEO DEL PRADO, 
2724,1112 UNION AVE,1112,UNION,AVE
2730,"5000 BUTTE ST, UNIT 222",5000,BUTTE,ST
2740,1149 QUINCE AVE,1149,QUINCE,AVE
2742,3252 SENTINEL DR,3252,SENTINEL,DR
2753,3420 LONGWOOD AVE,3420,LONGWOOD,AVE
2762,1920 7TH ST,1920,7TH,ST
2770,"5505 VALMONT RD, UNIT 299",5505,VALMONT,RD
2773,4457 S HAMPTON CIR,4457,HAMPTON,CIR
2779,2955 ISLAND DR,2955,ISLAND,DR
2781,"5000 BUTTE ST, UNIT 91",5000,BUTTE,ST
2783,2714 NORTHBROOK PL,2714,NORTHBROOK,PL
2785,"6292 ARAPAHOE RD, UNIT 7",6292,ARAPAHOE,RD
2803,4873 FRANKLIN DR,4873,FRANKLIN,DR
2806,"5000 BUTTE ST, UNIT 137",5000,BUTTE,ST
2807,1897 SUMAC AVE,1897,SUMAC,AVE
2809,3515 LONGWOOD AVE,3515,LONGWOOD,AVE
2811,1628 4TH ST,1628,4TH,ST
2813,4738 FRANKLIN DR,4738,FRANKLIN,DR
2836,2915 ISLAND DR,2915,ISLAND,DR
2842,6154 SONGBIRD CIR,6154,SONGBIRD,CIR
2854,545 UTICA AVE,545,UTICA,AVE
2858,2935 ISLAND DR,2935,ISLAND,DR
2865,547 UTICA AVE,547,UTICA,AVE
2872,"5000 BUTTE ST, UNIT 39",5000,BUTTE,ST
2879,"5000 BUTTE ST, UNIT 212",5000,BUTTE,ST
2899,612 SPRUCE ST,612,SPRUCE,ST
2907,6325 ARAPAHOE RD,6325,ARAPAHOE,RD
2916,"620 PEARL ST, UNIT G",620,PEARL,ST
2933,3035 FULTON CIR,3035,FULTON,CIR
2941,"5520 STONEWALL PL, UNIT 22",5520,STONEWALL,PL
2942,2726 WINDING TRAIL PL,2726,WINDING TRAIL,PL
2943,3643 ROUNDTREE CT,3643,ROUNDTREE,CT
2946,6300 RESERVE DR,6300,RESERVE,DR
2948,"5377 MANHATTAN CIR, UNIT 202",5377,MANHATTAN,CIR
2951,576 UNIVERSITY AVE,576,UNIVERSITY,AVE
2956,2714 WINDING TRAIL PL,2714,WINDING TRAIL,PL
2962,3716 WONDERLAND HILL AVE,3716,WONDERLAND HILL,AVE
2964,5840 N ORCHARD CREEK CIR,5840,ORCHARD CREEK,CIR
2971,"608 PEARL ST, UNIT D",608,PEARL,ST
2974,1369 CHERRYVALE RD,1369,CHERRYVALE,RD
2976,4842 HOPKINS PL,4842,HOPKINS,PL
2981,1071 UTICA CIR,1071,UTICA,CIR
2992,616 POPLAR AVE,616,POPLAR,AVE
2996,5525 RACQUET LN,5525,RACQUET,LN
3000,4851 GIBBS AVE,4851,GIBBS,AVE
3008,"3260 47TH ST, UNIT 102A",3260,47TH,ST
3015,4802 HOPKINS PL,4802,HOPKINS,PL
3020,2500 TOPAZ DR,2500,TOPAZ,DR
3027,3162 NOBLE CT,3162,NOBLE,CT
3029,4735 MCKINLEY DR,4735,MCKINLEY,DR
3034,4464 COOLIDGE PL,4464,COOLIDGE,PL
3044,"5505 VALMONT RD, UNIT 295",5505,VALMONT,RD
3056,1777 CONESTOGA ST,1777,CONESTOGA,ST
3063,610 STREAMSIDE LN,610,STREAMSIDE,LN
3064,3105 BELL DR,3105,BELL,DR
3087,5465 WHITE PL,5465,WHITE,PL
3096,429 SPRUCE ST,429,SPRUCE,ST
3100,1219 CHERRYVALE RD,1219,CHERRYVALE,RD
3117,2901 55TH ST,2901,55TH,ST
3121,595 CANYON BLVD,595,CANYON,BLVD
3123,"5377 MANHATTAN CIR, UNIT 203",5377,MANHATTAN,CIR
3125,"5377 MANHATTAN CIR, UNIT 200",5377,MANHATTAN,CIR
3139,775 CHERRYVALE RD,775,CHERRYVALE,RD
3148,5526 FRIENDS PL,5526,FRIENDS,PL
3157,3957 CORRIENTE DR,3957,CORRIENTE,DR
3176,1005 CHERRYVALE RD,1005,CHERRYVALE,RD
3178,3960 GREENBRIAR BLVD,3960,GREENBRIAR,BLVD
3183,460 ARAPAHOE AVE,460,ARAPAHOE,AVE
3197,"5540 STONEWALL PL, UNIT 16",5540,STONEWALL,PL
3214,950 PARKWAY DR,950,PARKWAY,DR
3215,645 CREE CIR,645,CREE,CIR
3227,"5000 BUTTE ST, UNIT 45",5000,BUTTE,ST
3229,3850 BIRCHWOOD DR,3850,BIRCHWOOD,DR
3230,4694 S HAMPTON CIR,4694,HAMPTON,CIR
3250,425 QUAIL CIR,425,QUAIL,CIR
3251,1501 QUINCE AVE,1501,QUINCE,AVE
3253,6048 CHELSEA MANOR CT,6048,CHELSEA MANOR,CT
3269,1089 POPLAR AVE,1089,POPLAR,AVE
3272,"790 WALNUT ST, UNIT B",790,WALNUT,ST
3285,4810 KINGS RIDGE BLVD,4810,KINGS RIDGE,BLVD
3286,1043 POPLAR AVE,1043,POPLAR,AVE
3289,976 ARAPAHOE AVE,976,ARAPAHOE,AVE
3293,5448 WHITE PL,5448,WHITE,PL
3295,333 CANYON BLVD,333,CANYON,BLVD
3297,3760 SILVER PLUME LN,3760,SILVER PLUME,LN
3299,"5000 BUTTE ST, UNIT 93",5000,BUTTE,ST
3305,"745 ARAPAHOE AVE, UNIT 102",745,ARAPAHOE,AVE
3306,5190 S BOULDER RD,5190,BOULDER,RD
3312,5665 PENNSYLVANIA PL,5665,PENNSYLVANIA,PL
3318,"3850 PASEO DEL PRADO, UNIT 6",3850,PASEO DEL PRADO, 
3323,5030 PEARL ST,5030,PEARL,ST
3334,53 ILLINI CT,53,ILLINI,CT
3347,1332 LARK CT,1332,LARK,CT
3363,2465 AGATE LN,2465,AGATE,LN
3364,994 55TH ST,994,55TH,ST
3375,4135 RIVERSIDE AVE,4135,RIVERSIDE,AVE
3388,975 HARTFORD DR,975,HARTFORD,DR
3392,"5540 STONEWALL PL, UNIT 22",5540,STONEWALL,PL
3394,4046 OLD WESTBURY CT,4046,OLD WESTBURY,CT
3396,4760 HARRISON AVE,4760,HARRISON,AVE
3405,"715 ARAPAHOE AVE, UNIT 4",715,ARAPAHOE,AVE
3406,888 RACQUET LN,888,RACQUET,LN
3415,4653 MACARTHUR LN,4653,MACARTHUR,LN
3419,3150 KITTRELL CT,3150,KITTRELL,CT
3422,742 MARINE ST,742,MARINE,ST
3441,5285 ILLINI WAY,5285,ILLINI,WAY
3445,1595 MACARTHUR DR,1595,MACARTHUR,DR
3453,610 CREE CIR,610,CREE,CIR
3454,606 QUINCE CIR,606,QUINCE,CIR
3457,736 COTTAGE LN,736,COTTAGE,LN
3462,"5505 VALMONT RD, UNIT 11",5505,VALMONT,RD
3466,2866 MAYA PL,2866,MAYA,PL
3468,5200 PEARL ST,5200,PEARL,ST
3472,625 NORTHSTAR CT,625,NORTHSTAR,CT
3474,1675 UPLAND AVE,1675,UPLAND,AVE
3475,1558 MACARTHUR DR,1558,MACARTHUR,DR
3482,609 LINDEN PARK DR,609,LINDEN PARK,DR
3483,3906 ORCHARD CT,3906,ORCHARD,CT
3490,"5510 STONEWALL PL, UNIT 31",5510,STONEWALL,PL
3497,4967 NOBLE PARK PL,4967,NOBLE PARK,PL
3503,5590 STONEWALL PL,5590,STONEWALL,PL
3507,4750 HANCOCK DR,4750,HANCOCK,DR
3528,5283 E EUCLID AVE,5283,EUCLID,AVE
3540,603 KALMIA AVE,603,KALMIA,AVE
3551,377 W ARAPAHOE LN,377,ARAPAHOE,LN
3555,1050 HARTFORD DR,1050,HARTFORD,DR
3560,1367 LODGE LN,1367,LODGE,LN
3561,3837 ORION CT,3837,ORION,CT
3570,4788 FRANKLIN DR,4788,FRANKLIN,DR
3577,988 UTICA CIR,988,UTICA,CIR
3578,676 POPLAR AVE,676,POPLAR,AVE
3581,3248 NOBLE CT,3248,NOBLE,CT
3585,898 ITHACA DR,898,ITHACA,DR
3610,580 SPRUCE ST,580,SPRUCE,ST
3611,"620 PEARL ST, UNIT A",620,PEARL,ST
3612,"5000 BUTTE ST, UNIT 28",5000,BUTTE,ST
3613,1437 LODGE LN,1437,LODGE,LN
3614,"3755 BIRCHWOOD DR, UNIT 48",3755,BIRCHWOOD,DR
3616,3826 FREDERICKS CT,3826,FREDERICKS,CT
3618,5360 STERLING DR,5360,STERLING,DR
3629,1500 HARRISON AVE,1500,HARRISON,AVE
3630,5305 GALLATIN PL,5305,GALLATIN,PL
3641,3970 KINGSTOWN PL,3970,KINGSTOWN,PL
3644,1276 HARRISON CT,1276,HARRISON,CT
3659,"2000 5TH ST, UNIT A",2000,5TH,ST
3663,2323 30TH ST,2323,30TH,ST
3665,4776 FRANKLIN DR,4776,FRANKLIN,DR
3672,931 GRANDVIEW AVE,931,GRANDVIEW,AVE
3674,3712 MONTEREY PL,3712,MONTEREY,PL
3682,5262 GALLATIN PL,5262,GALLATIN,PL
3692,4593 MAPLE CT,4593,MAPLE,CT
3694,2035 4TH ST,2035,4TH,ST
3700,5452 WHITE PL,5452,WHITE,PL
3708,900 ARAPAHOE AVE,900,ARAPAHOE,AVE
3710,4377 SNOWBERRY CT,4377,SNOWBERRY,CT
3717,"4125 47TH ST, UNIT F",4125,47TH,ST
3724,720 POPLAR AVE,720,POPLAR,AVE
3726,"3260 47TH ST, UNIT 110A",3260,47TH,ST
